Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,RiskPerTradePct,MaxDailyLossPct,MaxWeeklyLossPct,AsianOpenHour,NYOpenHour,NYCloseHour,MinutesBeforeNYClose,AggressiveTrailHoursBeforeClose,NewsWindowMinutes,ATR_Period,ATR_Multiplier,PartialTakeProfitRR,ExtendedTakeProfitRR,NY_Precision_ADX_Level
2379,7.40,62021.52,181.34947,1.48126,2.90734,7.39925,0,7.99,342,0.5,2,21,9,49,17,15,2,142,16,1.5,5.04,5.28,87
4128,8.32,41216.09,120.51488,1.48752,1.92455,8.31531,0,7.99,342,0.5,2,5,9,128,17,15,2,46,96,1.5,1.2,24,93
3028,6.86,40319.28,83.99850,1.34562,1.87314,6.85938,0,7.99,480,0.55,8,48.5,9,104,17,15,17,36,16,1.5,1.2,24,219
4967,-1.19,-9773.99,-18.58173,0.94731,-0.47432,-1.19241,0,8.00,526,0.5,2,5,0,14,17,15,2,30,14,1.5,1.2,4.8,36
3587,8.49,80307.73,264.17016,1.71708,3.64423,8.48622,0,8.00,304,0.5,2,5,9,16,17,15,2,92,49,1.65,12,9.6,45
3418,3.84,45937.17,84.13401,1.24206,1.81450,3.83533,0,8.00,546,0.5,2,37,4,84,24,15,2,270,16,1.5,1.2,8.16,195
1340,-0.53,-6122.15,-61.22150,0.90428,-0.30221,-0.53499,0,8.00,100,2.1,15.8,20.5,5,120,30,149,9,299,107,13.05,6.12,37.44,270
1083,1.08,14403.21,600.13375,1.64289,0.68741,1.07603,0,8.01,24,1.25,2.8,39,3,26,68,112,12,223,107,4.35,2.16,7.68,147
3525,9.20,81258.74,270.86247,1.74375,3.77499,9.19523,0,8.01,300,0.5,2,5,9,16,17,15,2,61,46,1.65,10.92,5.76,96
4348,9.21,84856.30,279.13257,1.76912,3.89835,9.21333,0,8.01,304,0.5,2,5,9,16,17,15,2,120,49,1.65,10.92,7.2,168
5182,9.61,46995.82,138.22300,1.54678,2.18913,9.60995,0,8.01,340,0.5,2,5,9,16,17,15,2,120,90,1.5,1.2,8.64,87
