Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,RiskPerTradePct,MaxDailyLossPct,MaxWeeklyLossPct,AsianOpenHour,NYOpenHour,NYCloseHour,MinutesBeforeNYClose,AggressiveTrailHoursBeforeClose,NewsWindowMinutes,ATR_Period,ATR_Multiplier,PartialTakeProfitRR,ExtendedTakeProfitRR,NY_Precision_ADX_Level
2179,1.29,1355.83,3.25921,1.10231,0.51286,1.29144,0,1.04,416,0.5,5.2,40,8,26,17,27,14,97,87,13.05,3.24,29.28,276
2180,1.58,1232.89,3.21065,1.10418,0.42895,1.58120,0,1.13,384,0.5,2,5,9,64,17,75,15,222,87,13.05,3.24,29.28,276
2137,0.59,863.29,1.96202,1.05061,0.20421,0.59355,0,1.66,440,0.5,13,36.5,5,84,17,27,10,128,97,10.95,3.24,29.28,132
1997,2.09,2845.02,6.77386,1.18491,0.65668,2.09321,0,1.70,420,0.5,2,28.5,6,131,17,95,19,281,100,10.5,3.24,29.28,132
1575,0.49,1105.14,2.15848,1.04651,0.25024,0.49421,0,1.74,512,0.5,3.6,43.5,4,65,22,32,12,118,112,10.95,12,39.36,156
1926,1.03,2204.89,3.62646,1.07717,0.47103,1.03343,0,1.83,608,0.5,2,19.5,3,98,17,127,16,55,52,8.55,1.56,13.92,156
1151,0.04,1149.85,191.64167,1.40094,0.24681,0.04017,0,1.84,6,0.65,14.2,35,10,34,154,103,7,52,88,15,1.32,5.76,144
1150,2.29,4495.64,8.95546,1.18105,0.94224,2.28849,0,1.86,502,0.5,2,28.5,6,131,17,127,16,55,52,8.55,1.56,13.92,156
1505,2.29,4495.64,8.95546,1.18105,0.94224,2.28849,0,1.86,502,0.5,2,28.5,6,77,17,127,16,55,52,8.55,1.56,13.92,156
2289,0.23,299.12,0.74780,1.01639,0.06239,0.22796,0,1.88,400,0.5,12.8,35.5,8,99,17,63,20,227,126,10.2,1.2,43.2,159
759,0.87,1762.88,3.45663,1.07550,0.36345,0.86590,0,1.91,510,0.7,15.8,5.5,1,136,17,75,12,33,90,13.05,3.24,29.28,132
2955,-0.38,-571.49,-3.14006,0.97099,-0.11727,-0.37891,0,1.92,182,0.5,2,5,10,16,17,15,2,118,17,8.7,1.2,12.48,138
1797,2.14,3754.00,7.21923,1.17732,0.76298,2.13539,0,1.93,520,0.5,2,5,5,109,17,15,17,134,61,10.2,3.96,29.28,276
1415,2.20,7007.29,10.64938,1.19153,1.35471,2.19758,0,1.98,658,1.05,17.6,39.5,4,39,21,82,18,285,72,14.85,10.08,47.52,147
1492,-0.05,-846.28,-105.78500,0.82096,-0.16916,-0.04930,0,2.00,8,0.5,16.4,11.5,5,32,129,136,13,262,15,13.5,4.68,15.36,219
1897,-0.14,-265.70,-0.53569,0.98938,-0.05067,-0.13609,0,2.06,496,0.5,13,36.5,5,132,19,30,10,128,129,10.2,10.68,47.52,195
711,-0.05,-869.42,-108.67750,0.81696,-0.16632,-0.04981,0,2.09,8,0.5,2,35.5,4,62,129,132,15,233,15,13.35,6.84,34.08,72
906,-0.05,-869.42,-108.67750,0.81696,-0.16632,-0.04981,0,2.09,8,0.5,2,35.5,4,94,129,132,15,233,15,13.35,6.84,34.08,72
958,-0.70,-972.23,-1.72995,0.94136,-0.18255,-0.70410,0,2.11,562,0.5,2,13,1,69,17,15,14,97,127,14.85,3.96,26.88,117
5965,0.03,114.80,7.17500,1.02585,0.02132,0.03348,0,2.13,16,0.5,11.6,11,0,93,129,15,2,30,14,13.35,1.2,27.84,156
6144,0.01,48.08,3.00500,1.01064,0.00885,0.01348,0,2.15,16,0.5,11.6,18.5,1,93,129,15,17,30,14,13.35,1.2,20.16,159
1264,0.85,1382.81,6.98389,1.07983,0.24886,0.85015,0,2.18,198,0.5,14.8,32.5,8,64,17,15,2,78,138,10.5,1.32,42.24,90
1693,0.93,1781.37,3.59147,1.06642,0.31542,0.92881,0,2.20,496,0.5,14.8,36.5,7,22,17,89,17,45,52,8.55,1.56,13.92,156
1765,0.29,388.38,1.98153,1.02311,0.06838,0.28768,0,2.23,196,0.5,2,21,9,49,17,15,2,142,136,10.2,1.44,4.8,135
1895,-1.44,-2034.12,-11.17648,0.89444,-0.34544,-1.44338,0,2.32,182,0.5,8.6,30,10,46,17,15,2,252,14,9.3,1.2,46.56,129
421,0.07,6594.46,1648.61500,4.49242,1.10553,0.06525,0,2.36,4,0.75,5.8,22.5,4,14,130,115,20,220,115,13.5,6.96,43.68,96
1235,0.24,587.68,0.85918,1.01998,0.09711,0.23582,0,2.37,684,0.55,15.6,22.5,3,95,22,70,20,136,95,10.35,6.6,16.32,123
3006,1.85,2943.14,7.91167,1.12930,0.47854,1.85000,0,2.41,372,0.5,2,5,9,16,17,15,13,237,14,8.7,1.2,12.48,39
3150,1.90,3077.85,7.85166,1.13153,0.48777,1.89726,0,2.47,392,0.5,2,5,9,64,17,15,18,284,19,8.7,1.2,26.88,192
1107,-0.12,-1168.95,-116.89500,0.75214,-0.18679,-0.12322,0,2.48,10,0.5,14.8,32.5,8,64,44,52,10,82,17,13.65,1.2,19.68,261
1777,-1.03,-1281.72,-3.86060,0.93734,-0.20097,-1.03006,0,2.52,332,0.5,2,37,10,104,17,15,18,284,27,9.15,1.2,26.88,192
4,0.41,1089.94,1.59348,1.03564,0.16433,0.41085,0,2.59,684,0.55,15.6,22.5,3,95,22,70,20,136,135,10.35,6.6,16.32,123
943,0.00,-5.08,-0.84667,0.99858,-0.00076,-0.00014,0,2.63,6,0.5,11.6,35,8,73,129,148,2,106,108,13.05,6.12,7.68,123
1015,0.49,16469.66,1646.96600,5.82756,2.37638,0.49321,0,2.64,10,1.5,11,24.5,8,49,98,63,7,71,134,10.2,1.2,45.6,171
1074,1.01,2183.05,11.25284,1.13229,0.32354,1.00693,0,2.65,194,0.5,2,5,0,118,17,15,2,142,139,10.5,1.32,42.24,90
1474,1.85,6351.55,70.57278,1.45782,0.91131,1.84943,0,2.65,90,0.6,16.6,10.5,3,112,30,17,9,253,96,13.05,6.12,37.44,270
1992,2.37,8104.20,18.58762,1.13832,1.17971,2.37488,0,2.66,436,0.5,14.8,32.5,8,64,17,127,10,82,98,3.3,4.2,4.8,66
3658,0.44,839.19,6.26261,1.03337,0.11922,0.43675,0,2.73,134,0.5,2,32.5,9,15,17,15,2,30,14,8.7,1.2,4.8,78
2345,-1.32,-2556.16,-11.94467,0.87681,-0.35658,-1.32405,0,2.84,214,0.5,16.2,27,6,125,17,15,3,277,17,13.5,1.92,4.8,174
1300,0.86,1900.81,3.72708,1.06396,0.25916,0.86119,0,2.85,510,0.5,2,28.5,6,131,17,127,16,55,52,7.95,1.56,13.92,156
2215,-0.16,-1596.84,-133.07000,0.75808,-0.22115,-0.16054,0,2.88,12,0.5,2,20.5,4,29,65,109,5,296,14,9.9,6.96,47.04,174
5832,0.68,1372.27,10.24082,1.05448,0.18194,0.68435,0,2.92,134,0.5,2,32.5,9,15,17,15,2,30,14,8.7,2.52,27.84,159
429,1.85,6509.39,70.75424,1.44214,0.84271,1.85233,0,2.93,92,0.6,16.6,10.5,3,112,30,17,9,253,107,13.05,6.12,37.44,270
907,0.38,3786.29,270.44929,1.60650,0.50653,0.37651,0,2.94,14,0.65,14.2,35,10,34,140,84,7,53,91,7.8,1.92,18.72,78
1809,3.10,20403.50,408.07000,2.02874,2.60049,3.10326,0,2.95,50,0.5,2,5,9,64,108,15,2,120,58,4.95,3.36,4.8,228
11839,0.39,1025.19,4.88186,1.04734,0.13492,0.39321,0,2.97,210,0.5,12.6,8.5,1,93,17,15,3,270,14,13.35,1.32,17.28,36
6956,-0.53,-3282.07,-273.50583,0.42635,-0.43729,-0.53023,0,2.98,12,0.5,11.6,8,0,101,129,15,2,30,17,14.55,1.2,19.2,33
973,-0.08,-151.30,-0.36370,0.99333,-0.01981,-0.08215,0,2.98,416,0.5,14.8,32.5,8,64,17,127,10,81,17,10.35,10.68,36.48,66
11746,1.77,4456.15,17.82460,1.24984,0.58240,1.77486,0,2.98,250,0.5,12.6,8.5,0,93,17,15,5,270,14,13.35,1.32,18.72,33
11875,1.77,4456.15,17.82460,1.24984,0.58240,1.77486,0,2.98,250,0.5,12.6,8.5,0,93,17,15,5,270,14,13.35,1.32,18.72,36
1785,2.69,17945.52,332.32444,1.79886,2.19207,2.69252,0,3.02,54,0.5,2,5,8,119,108,58,3,61,61,4.95,3.36,4.8,228
1077,1.62,5602.02,60.89152,1.37612,0.70387,1.61525,0,3.03,92,0.6,16.6,10.5,3,112,30,17,9,253,96,12.9,6.12,37.44,126
11198,0.23,526.77,1.17060,1.02407,0.06794,0.22745,0,3.04,450,0.5,12.6,8.5,0,93,17,15,9,30,14,13.35,1.32,20.16,39
7353,0.15,336.06,0.74680,1.01537,0.04336,0.14610,0,3.04,450,0.5,8.4,11,0,93,17,15,9,30,14,13.35,1.2,20.16,159
1003,-0.40,-1382.69,-2.65902,0.96016,-0.17245,-0.40191,0,3.14,520,0.7,10,36,2,94,22,32,12,118,111,10.95,12,39.36,156
7611,0.45,1096.57,6.09206,1.05999,0.13645,0.45466,0,3.14,180,0.5,5.8,8,0,101,17,15,2,30,17,14.55,1.2,9.6,219
1709,2.03,5101.94,11.28748,1.12278,0.62554,2.03332,0,3.16,452,0.5,2,5,9,128,17,15,13,237,61,4.95,3.36,4.8,165
2662,6.94,30954.11,79.77863,1.36076,3.72048,6.94387,0,3.17,388,0.5,2,37,10,16,17,15,18,284,27,1.5,1.2,26.88,192
10838,0.54,1357.63,7.45951,1.07146,0.16454,0.54295,0,3.22,182,0.5,5.4,32,0,101,17,15,2,270,15,14.55,1.2,19.68,33
2041,3.13,7238.68,14.71276,1.29909,0.86533,3.13180,0,3.24,492,0.5,11.6,26,5,70,17,15,13,125,17,9.9,2.04,30.72,60
191,0.50,20277.16,2027.71600,6.48311,2.34369,0.50269,0,3.25,10,1.55,11.2,7.5,3,138,137,107,17,204,119,8.85,1.44,10.08,153
1920,3.26,15236.97,32.55763,1.20352,1.71486,3.25833,0,3.27,468,0.5,2,5,8,52,17,63,15,150,18,3.15,2.88,4.8,147
70,-0.51,-4182.40,-348.53333,0.47462,-0.50876,-0.51063,0,3.29,12,0.55,11.6,5.5,5,140,77,112,12,230,122,14.85,4.44,29.76,171
2755,5.42,16988.46,47.72039,1.26788,1.99228,5.41730,0,3.29,356,0.5,5.2,5,10,115,17,143,12,170,108,1.95,1.2,20.16,99
3227,7.98,32486.51,81.62440,1.34594,3.81556,7.97987,0,3.29,398,0.5,2,5,10,115,17,143,12,170,23,1.5,1.56,4.8,159
6794,0.57,1515.87,7.28784,1.07583,0.17790,0.57038,0,3.32,208,0.5,11.6,11,0,93,17,15,3,30,14,13.35,1.32,18.72,54
9895,0.57,1515.87,7.28784,1.07583,0.17790,0.57038,0,3.32,208,0.5,12.6,11,0,93,17,15,3,30,14,13.35,1.32,18.72,111
11444,0.57,1515.87,7.28784,1.07583,0.17790,0.57038,0,3.32,208,0.5,12.6,8.5,0,93,17,15,3,270,14,13.35,1.32,18.72,33
2124,6.49,34873.36,96.87044,1.38368,4.01023,6.49372,0,3.32,360,0.5,2,37,10,16,17,15,18,284,16,1.5,2.64,26.88,192
2625,8.08,31827.11,84.19870,1.37264,3.70063,8.07932,0,3.34,378,0.5,2,5,10,115,17,143,12,170,15,1.5,1.56,4.8,111
3138,8.08,31827.11,84.19870,1.37264,3.70063,8.07932,0,3.34,378,0.5,2,5,10,67,17,143,12,170,15,1.5,1.56,4.8,111
9922,1.23,3605.39,19.59451,1.15844,0.41702,1.22739,0,3.36,184,0.5,5.4,7,0,101,17,127,2,158,17,10.95,1.2,19.68,60
3483,-0.49,-1222.68,-2.51580,0.95814,-0.14295,-0.48876,0,3.37,486,0.5,11.6,24.5,2,110,17,15,10,286,16,11.1,1.68,17.76,168
1332,1.06,2749.10,5.75126,1.06266,0.31700,1.05555,0,3.37,478,0.5,14.8,32.5,8,64,17,127,10,81,65,4.95,2.28,35.52,210
867,0.71,2351.11,3.77992,1.06512,0.27303,0.71292,0,3.38,622,0.7,6.2,28.5,0,39,20,25,15,115,111,10.95,2.4,17.76,48
2531,-1.66,-3106.95,-15.53475,0.89300,-0.35858,-1.66189,0,3.39,200,0.5,2,21,9,49,17,15,2,142,16,8.7,1.2,26.88,192
3195,7.49,32771.22,84.46191,1.39168,3.68654,7.48807,0,3.39,388,0.5,3.4,37,10,16,17,30,18,284,24,1.5,1.2,24,252
1029,0.79,2622.49,4.22982,1.07252,0.30261,0.78978,0,3.40,620,0.7,6.2,28.5,0,39,20,25,15,115,116,10.95,2.4,17.76,192
2093,3.31,17408.96,35.52849,1.24042,1.91812,3.31213,0,3.40,490,0.5,2,37,5,49,17,127,18,236,130,2.85,11.52,7.2,174
2664,6.14,32891.57,87.01474,1.33660,3.63274,6.14410,0,3.45,378,0.5,2,5,10,39,17,15,18,284,16,1.5,2.64,12.48,138
595,0.71,2940.98,9.48703,1.07591,0.33392,0.70720,0,3.45,310,1.05,17.6,39.5,4,39,20,30,5,285,107,12,5.88,24,99
2648,3.42,20484.73,42.32382,1.22205,2.12505,3.41883,0,3.45,484,0.5,2,28.5,6,131,17,127,16,55,108,1.95,1.56,13.92,156
2275,5.26,30241.20,55.79557,1.26444,3.26852,5.26030,0,3.49,542,0.5,11.6,33,5,118,17,127,10,82,122,1.65,1.2,7.68,66
5505,11.55,70811.33,210.74801,1.76768,6.43112,11.54833,0,3.49,336,0.5,3.4,5,9,129,17,30,3,142,32,1.5,1.56,26.88,81
1855,4.70,14565.75,37.15753,1.32471,1.59975,4.70087,0,3.51,392,0.5,2,5,9,16,17,22,13,237,133,3.45,8.76,13.44,123
1721,3.10,15969.51,31.93902,1.20172,1.64976,3.09754,0,3.52,500,0.5,2,5,7,36,17,63,15,150,18,3.15,2.88,4.8,147
2279,4.45,13510.15,34.46467,1.30236,1.47904,4.44878,0,3.52,392,0.5,2,5,9,16,17,22,13,237,126,3.45,8.76,13.44,123
6946,0.30,736.92,4.09400,1.04040,0.08137,0.29590,0,3.53,180,0.5,5.2,8,0,101,17,15,2,30,17,14.55,6.96,9.12,135
1937,4.24,33538.54,1289.94385,4.96376,3.64748,4.24257,0,3.54,26,0.5,3.6,43.5,4,65,130,121,20,234,107,3.15,4.2,10.56,93
1660,4.40,22906.04,53.02324,1.30270,2.30832,4.40404,0,3.54,432,0.5,14.8,32.5,8,64,17,127,10,82,122,2.4,11.4,7.2,210
1762,3.52,19235.78,36.56992,1.20669,2.09962,3.52492,0,3.54,526,0.5,13,36.5,5,84,17,30,10,128,98,1.95,1.2,24,204
3438,7.40,30408.79,80.02313,1.39532,3.29193,7.39525,0,3.55,380,0.5,3.4,37,10,16,17,30,18,284,24,1.65,1.2,24,252
2653,4.50,28392.67,49.98710,1.22455,2.77505,4.49763,0,3.56,568,0.5,2,21,4,96,17,127,10,236,122,1.65,1.2,7.68,66
10560,0.42,1100.06,6.18011,1.05783,0.12008,0.42109,0,3.57,178,0.5,5.4,8,0,101,17,15,2,158,14,14.55,6.96,9.12,30
1229,3.65,11499.55,28.60585,1.24060,1.23812,3.65030,0,3.58,402,0.5,2,5,9,128,17,22,13,237,133,3.45,8.76,13.44,123
1372,3.65,11499.55,28.60585,1.24060,1.23812,3.65030,0,3.58,402,0.5,2,5,9,27,17,22,13,237,133,3.45,8.76,13.44,123
1929,3.39,10483.14,26.07746,1.22022,1.12620,3.39102,0,3.59,402,0.5,2,5,9,27,17,22,13,237,126,3.45,8.76,13.44,123
9257,0.26,666.00,3.65934,1.03513,0.07132,0.25779,0,3.64,182,0.5,5.4,7,0,101,17,15,2,270,15,14.55,6.96,32.16,30
1186,-0.06,-1004.89,-100.48900,0.86043,-0.10870,-0.05955,0,3.65,10,0.65,14.2,35,10,34,140,84,7,53,123,10.95,2.04,18.72,126
7860,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,13.6,9,0,93,17,15,2,270,14,13.35,1.32,18.72,51
8117,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,13,11,0,93,17,15,2,30,14,13.35,1.32,18.72,30
9233,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,13.6,9,0,93,17,15,2,270,14,13.35,1.32,18.72,30
9242,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,13,11,0,93,17,15,2,30,14,13.35,1.32,26.4,39
9319,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,12.6,8.5,0,93,17,15,2,270,14,13.35,1.32,18.72,36
9463,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,12.6,11,0,93,17,15,2,30,14,13.35,1.32,18.72,102
11395,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,12.6,8.5,0,93,17,15,2,30,14,13.35,1.32,18.72,36
11906,0.59,1615.27,8.87511,1.07656,0.17226,0.58913,0,3.65,182,0.5,12.6,8.5,0,93,17,15,2,270,14,13.35,1.32,17.28,36
5459,0.64,1745.57,9.59104,1.08271,0.18615,0.63972,0,3.66,182,0.5,2,5.5,0,93,17,15,2,30,14,13.35,1.2,17.76,39
6154,0.64,1745.57,9.59104,1.08271,0.18615,0.63972,0,3.66,182,0.5,11.6,11,0,93,17,15,2,30,14,13.35,1.2,20.16,159
6258,0.64,1745.57,9.59104,1.08271,0.18615,0.63972,0,3.66,182,0.5,11.6,11,0,93,17,15,2,30,14,13.35,1.2,25.44,150
7749,0.64,1745.57,9.59104,1.08271,0.18615,0.63972,0,3.66,182,0.5,13,11,0,93,17,15,2,30,14,13.35,1.2,20.16,165
9087,0.64,1745.57,9.59104,1.08271,0.18615,0.63972,0,3.66,182,0.5,13.6,9,0,93,17,15,2,270,14,13.35,1.2,21.6,39
9462,0.64,1745.57,9.59104,1.08271,0.18615,0.63972,0,3.66,182,0.5,12.6,8.5,0,93,17,15,2,270,14,13.35,1.2,20.16,159
3306,6.96,29377.43,75.71503,1.33973,3.04856,6.95678,0,3.68,388,0.5,3.4,37.5,10,16,17,30,18,284,19,1.5,1.2,12.48,138
1366,4.07,11827.94,29.86854,1.25569,1.23955,4.07263,0,3.69,396,0.5,2,5,9,16,17,15,13,237,94,3.45,3.6,21.6,123
315,-0.47,-4533.97,-377.83083,0.49199,-0.49133,-0.47297,0,3.69,12,0.6,9.8,49.5,5,103,82,146,8,38,119,13.65,4.2,35.52,33
11292,0.37,979.35,5.32255,1.04759,0.10335,0.36674,0,3.70,184,0.5,12.4,8.5,0,93,17,15,2,286,16,13.35,1.32,20.16,39
1343,1.71,6613.20,14.13077,1.11526,0.68752,1.70981,0,3.70,468,0.5,2,28.5,6,131,17,127,16,55,95,3.45,3.6,21.6,159
2250,4.11,23902.55,54.32398,1.26948,2.27348,4.11029,0,3.71,440,0.5,15,32.5,8,64,17,127,10,81,113,2.1,6,37.92,213
3590,0.38,979.39,5.35186,1.04777,0.10302,0.37589,0,3.71,183,0.5,2,5,0,93,17,15,2,270,17,13.35,1.2,43.68,36
1059,0.56,1747.75,4.72365,1.04919,0.17925,0.56185,0,3.74,370,0.5,10.4,22.5,4,49,17,66,7,231,15,7.35,2.76,22.56,105
816,-0.50,-4883.30,-406.94167,0.46162,-0.52148,-0.50175,0,3.74,12,0.6,9.8,49.5,5,103,115,146,8,38,103,12.75,5.16,31.68,180
3101,7.38,32021.83,80.86321,1.38543,3.25563,7.38324,0,3.75,396,0.5,2,5,10,115,17,30,10,237,21,1.5,1.2,24,252
957,2.53,11755.71,27.08689,1.17160,1.18605,2.53375,0,3.75,434,0.5,14.8,32.5,8,64,17,127,10,82,130,2.85,11.52,7.2,66
7251,-0.60,-4545.42,-378.78500,0.28367,-0.47941,-0.59501,0,3.75,12,0.5,5.2,8,0,101,129,15,2,30,17,14.55,6.96,12,75
729,0.49,23742.10,2374.21000,5.79913,2.36414,0.49075,0,3.76,10,2.15,15.6,17,7,48,43,24,8,169,135,10.2,1.2,32.64,225
1080,0.49,23742.10,2374.21000,5.79913,2.36414,0.49075,0,3.76,10,2.15,2.8,10,10,67,43,24,8,169,135,10.2,1.2,32.64,225
2355,2.95,8781.95,21.41939,1.17828,0.90224,2.94939,0,3.76,410,0.5,2,5,9,48,17,15,13,237,94,3.45,3.6,21.6,123
720,1.85,7434.56,86.44837,1.44662,0.73845,1.84808,0,3.77,86,0.55,2.2,31.5,3,112,25,88,3,275,122,10.95,5.52,15.84,210
1559,1.85,7434.56,86.44837,1.44662,0.73845,1.84808,0,3.77,86,0.55,2.2,31.5,3,132,25,88,3,275,122,10.95,5.52,15.84,210
1087,-2.00,-3915.00,-12.00920,0.83918,-0.40593,-2.00481,0,3.78,326,0.5,2,36.5,5,43,17,15,6,178,138,9.15,9.72,43.2,162
1904,3.88,21952.43,42.05446,1.30184,2.14520,3.87902,0,3.80,522,0.5,2,21,4,96,17,127,17,236,130,2.85,11.52,7.2,174
2426,3.88,21952.43,42.05446,1.30184,2.14520,3.87902,0,3.80,522,0.5,2,21,4,128,17,127,17,236,130,2.85,11.52,7.2,174
3352,9.18,39464.79,127.30577,1.48960,4.04762,9.17612,0,3.80,310,0.5,2,37,10,104,17,15,2,142,24,1.65,1.2,4.8,279
2033,1.45,12130.46,551.38455,2.23791,1.24002,1.44591,0,3.80,22,0.5,2,5,8,129,135,57,3,61,109,3.15,4.2,10.56,285
2778,6.55,24338.41,56.86544,1.26380,2.44337,6.55184,0,3.81,428,0.5,11.6,33,10,136,17,127,17,82,90,1.5,1.2,4.8,174
2417,4.67,14798.36,37.75092,1.32772,1.49278,4.66582,0,3.82,392,0.5,2,5,9,16,17,15,13,237,133,3.45,8.76,13.44,123
2789,9.17,41104.04,150.01475,1.57835,4.12707,9.16580,0,3.83,274,0.5,3.4,37,10,16,17,15,2,246,24,1.65,1.2,12.48,282
3290,9.17,41104.04,150.01475,1.57835,4.12707,9.16580,0,3.83,274,0.5,2,37,10,16,17,15,2,110,24,1.65,1.2,12.48,147
3719,9.37,43288.70,142.39704,1.50169,4.42659,9.36556,0,3.83,304,0.5,2,37,10,129,17,15,2,142,24,1.65,1.56,4.8,279
1101,-0.42,-1119.29,-2.49842,0.96575,-0.11297,-0.41561,0,3.84,448,0.5,8.4,13.5,4,96,17,32,8,288,17,8.55,1.44,36.96,72
1061,0.46,1341.68,2.94228,1.03258,0.13503,0.46039,0,3.85,456,0.5,11.4,24.5,7,111,17,52,10,282,15,6.3,4.32,44.64,123
1424,1.05,8777.75,398.98864,1.79488,0.88736,1.05036,0,3.86,22,0.5,2,28.5,6,131,54,119,19,285,108,3.15,4.8,33.6,87
4779,-0.52,-4351.07,-362.58917,0.32096,-0.44554,-0.52197,0,3.86,12,0.5,5.2,48,0,101,129,16,2,286,16,13.5,6.96,9.12,30
0,-0.24,-822.39,-2.60250,0.97817,-0.08313,-0.23726,0,3.88,316,0.75,11.8,32.5,4,45,19,88,6,180,140,9.15,9.72,43.2,99
1227,0.64,2750.11,8.38448,1.06576,0.27729,0.63585,0,3.88,328,1.05,17.6,39.5,4,39,20,30,5,285,72,10.95,5.16,24,147
3035,8.47,38446.60,132.57448,1.51535,3.79996,8.46716,0,3.89,290,0.5,3.4,37,10,104,17,15,2,246,24,1.65,1.2,12.96,282
3324,8.47,38446.60,132.57448,1.51535,3.79996,8.46716,0,3.89,290,0.5,3.4,37,10,56,17,15,2,246,24,1.65,1.2,12.96,282
3625,8.47,38446.60,132.57448,1.51535,3.79996,8.46716,0,3.89,290,0.5,2,37,10,104,17,15,2,142,24,1.65,1.2,12.96,147
5485,4.94,33943.19,106.73959,1.38767,3.30020,4.94370,0,3.90,318,0.5,5.8,5,7,41,17,31,2,269,15,2.4,1.2,27.84,90
1650,3.38,19580.16,39.00430,1.20969,1.93088,3.37559,0,3.90,502,0.5,2,28.5,6,131,17,127,16,55,87,1.95,1.56,13.92,156
3898,9.96,43560.42,141.42994,1.55687,4.34531,9.96018,0,3.91,308,0.5,2,37,10,120,17,15,2,142,27,1.65,1.2,4.8,279
7768,5.95,41850.17,135.87718,1.49587,4.05978,5.95345,0,3.91,308,0.5,9,5,7,41,17,31,2,270,14,2.4,1.2,18.72,219
3020,8.28,39198.83,130.66277,1.42234,3.86557,8.27898,0,3.91,300,0.5,2,37,10,16,17,15,2,142,16,1.5,1.56,4.8,135
556,0.87,3671.99,7.19998,1.07445,0.36222,0.86587,0,3.91,510,1.5,17.4,29.5,8,18,23,119,19,228,72,14.85,9.48,13.44,210
898,-0.21,-822.25,-10.27813,0.95681,-0.08239,-0.21462,0,3.92,80,0.55,14,22.5,0,21,25,88,3,275,26,13.8,7.32,15.84,66
2549,6.74,28220.25,74.26382,1.35731,2.75519,6.74122,0,3.93,380,0.5,2,37,10,16,17,15,18,284,24,1.65,1.2,26.88,240
993,0.48,23250.49,2325.04900,5.68217,2.20476,0.48029,0,3.93,10,2.15,15.6,17,7,48,43,24,8,281,116,10.05,1.2,32.64,177
5035,11.68,73607.52,237.44361,1.77468,5.87842,11.67769,0,3.93,310,0.5,3.4,5,9,16,17,15,2,110,27,1.5,1.56,16.8,99
5329,11.68,73607.52,237.44361,1.77468,5.87842,11.67769,0,3.93,310,0.5,2,5,9,16,17,15,2,142,27,1.5,1.56,16.8,99
2889,8.22,34317.02,91.75674,1.42362,3.34448,8.22319,0,3.94,374,0.5,3.4,37,10,16,17,30,18,284,16,1.5,1.2,12.48,138
412,-0.08,-303.10,-3.15729,0.98654,-0.02972,-0.07535,0,3.95,96,0.55,2.2,31.5,3,112,25,88,3,275,26,13.8,7.32,15.84,66
3180,6.93,42363.17,155.74695,1.45791,4.14329,6.93275,0,3.95,272,0.5,2,37,10,16,17,15,2,61,21,1.5,2.64,12.48,99
980,-1.06,-2374.24,-4.05160,0.91439,-0.23602,-1.05652,0,3.96,586,0.5,10.6,43,3,31,17,32,17,93,14,11.1,8.76,13.92,63
4443,-0.42,-1370.93,-3.93945,0.97628,-0.13498,-0.41729,0,3.97,348,0.5,9,10.5,7,57,17,127,5,270,79,3.75,1.2,35.52,153
1857,1.21,3461.41,17.13569,1.11638,0.33595,1.21286,0,3.98,202,0.5,2,5,8,98,17,15,2,41,15,8.55,3.96,13.44,30
2652,6.27,36809.53,60.94293,1.28929,3.48350,6.27341,0,3.98,604,0.5,11.6,33,5,118,17,127,17,82,90,1.5,1.2,4.8,174
4473,9.87,59014.52,187.94433,1.65313,4.84971,9.87426,0,3.98,314,0.5,2,21,9,97,17,15,2,142,24,1.65,1.56,16.8,135
4964,9.87,59014.52,187.94433,1.65313,4.84971,9.87426,0,3.98,314,0.5,2,5,9,64,17,15,2,110,24,1.65,1.56,16.8,147
5264,0.20,609.74,0.89668,1.01665,0.05994,0.19703,0,3.99,680,0.5,14.6,27,0,106,17,15,16,206,16,9,8.88,17.28,156
3735,9.91,58757.69,185.94206,1.64858,4.82018,9.91183,0,3.99,316,0.5,2,5,9,32,17,15,2,120,25,1.65,1.56,16.8,198
5087,9.91,58757.69,185.94206,1.64858,4.82018,9.91183,0,3.99,316,0.5,2,5,9,64,17,15,2,120,25,1.65,1.56,16.8,147
4084,7.69,35582.83,116.28376,1.37317,3.47958,7.68739,0,4.00,306,0.5,2,37,10,16,17,15,2,46,19,1.5,1.56,4.8,111
870,-0.02,-965.39,-160.89833,0.83255,-0.09469,-0.01847,0,4.01,6,0.8,19.2,37,7,129,57,51,18,138,83,14.1,11.88,47.52,291
2257,5.98,25385.57,64.10498,1.30841,2.40755,5.98272,0,4.05,396,0.5,2,37,10,104,17,15,18,284,24,1.65,1.2,26.88,240
